name,html_url,description,language,stars,forks,created_at,updated_at
paletteer,https://github.com/EmilHvitfeldt/paletteer,🎨🎨🎨 Collection of most color palettes in a single R package,R,1018,52,2018-06-23T07:19:00Z,2025-12-11T14:11:46Z
circlize,https://github.com/jokergoo/circlize,Circular visualization in R ,R,1005,151,2013-04-18T18:56:04Z,2025-12-09T14:06:52Z
future,https://github.com/futureverse/future,:rocket: R package: future: Unified Parallel and Distributed Processing in R for Everyone,R,998,92,2015-06-08T02:37:06Z,2025-12-17T14:17:51Z
palmerpenguins,https://github.com/allisonhorst/palmerpenguins,A great intro dataset for data exploration & visualization (alternative to iris).,R,985,242,2020-06-05T14:57:15Z,2025-12-12T06:12:05Z
httr,https://github.com/r-lib/httr,httr: a friendly http package for R,R,984,1971,2011-11-11T15:05:00Z,2025-12-06T06:40:16Z
gptstudio,https://github.com/MichelNivard/gptstudio,"GPT RStudio addins that enable GPT assisted coding, writing & analysis",R,972,119,2022-12-24T19:35:02Z,2025-12-17T12:49:47Z
sparklyr,https://github.com/sparklyr/sparklyr,R interface for Apache Spark,R,969,308,2016-05-20T15:28:53Z,2025-12-06T06:40:16Z
magrittr,https://github.com/tidyverse/magrittr,Improve the readability of R code with the pipe,R,965,162,2014-01-01T13:30:01Z,2025-12-15T14:41:07Z
generativeart,https://github.com/cutterkom/generativeart,Create Generative Art with R,R,945,167,2018-11-15T14:39:20Z,2025-12-16T03:21:03Z
ggforce,https://github.com/thomasp85/ggforce,Accelerating ggplot2,R,942,110,2016-01-02T16:16:58Z,2025-12-16T00:16:41Z
box,https://github.com/klmr/box,"Write reusable, composable and modular R code",R,940,48,2013-05-22T16:03:42Z,2025-12-16T19:20:06Z
golem,https://github.com/ThinkR-open/golem,A Framework for Building Robust Shiny Apps ,R,937,137,2018-05-08T20:56:04Z,2025-12-15T14:09:13Z
see,https://github.com/easystats/see,:art: Visualisation toolbox for beautiful and publication-ready figures,R,936,46,2019-04-09T03:28:04Z,2025-12-17T14:58:48Z
r-pkgs,https://github.com/hadley/r-pkgs,Building R packages,R,934,642,2014-08-07T16:19:04Z,2025-12-13T20:59:17Z
BanditsBook,https://github.com/johnmyleswhite/BanditsBook,Code for my book on Multi-Armed Bandit Algorithms,R,919,264,2012-10-25T21:45:20Z,2025-12-05T16:56:21Z
testthat,https://github.com/r-lib/testthat,An R 📦 to make testing 😀,R,918,339,2009-09-02T12:51:44Z,2025-12-06T06:40:20Z
datapasta,https://github.com/MilesMcBain/datapasta,"On top of spaghetti, all covered in cheese....",R,914,62,2016-09-25T13:48:36Z,2025-12-07T02:22:23Z
pagedown,https://github.com/rstudio/pagedown,Paginate the HTML Output of R Markdown with CSS for Print,R,914,122,2018-09-27T13:58:17Z,2025-12-06T06:40:23Z
ggthemr,https://github.com/Mikata-Project/ggthemr,Themes for ggplot2.,R,910,109,2013-10-06T18:50:41Z,2025-12-06T06:40:23Z
ggtree,https://github.com/YuLab-SMU/ggtree,:christmas_tree:Visualization and annotation of phylogenetic trees,R,904,181,2014-12-03T05:23:47Z,2025-12-17T06:53:23Z
tmap,https://github.com/r-tmap/tmap,R package for thematic maps,R,897,125,2013-11-25T10:16:24Z,2025-12-06T06:39:35Z
tidyquant,https://github.com/business-science/tidyquant,Bringing financial analysis to the tidyverse,R,895,182,2016-12-30T19:12:30Z,2025-12-17T14:30:50Z
usethis,https://github.com/r-lib/usethis,Set up commonly used 📦 components,R,893,301,2016-11-07T14:33:45Z,2025-12-08T22:28:49Z
geobr,https://github.com/ipeaGIT/geobr,Easy access to official spatial data sets of Brazil in R and Python,R,884,122,2019-03-22T22:15:22Z,2025-12-04T22:56:30Z
workflowr,https://github.com/workflowr/workflowr,Organize your project into a research website,R,879,108,2016-12-08T02:02:58Z,2025-12-06T06:39:32Z
ggdist,https://github.com/mjskay/ggdist,Visualizations of distributions and uncertainty,R,874,31,2020-06-05T02:26:40Z,2025-12-16T16:12:10Z
ProgrammingAssignment2,https://github.com/rdpeng/ProgrammingAssignment2,Repository for Programming Assignment 2 for R Programming on Coursera,R,873,143949,2014-01-14T22:07:41Z,2025-12-09T23:50:46Z
quantmod,https://github.com/joshuaulrich/quantmod,Quantitative Financial Modelling Framework,R,873,227,2015-01-31T22:02:12Z,2025-12-11T10:30:04Z
quanteda,https://github.com/quanteda/quanteda,An R package for the Quantitative Analysis of Textual Data,R,870,189,2012-08-15T10:15:43Z,2025-12-15T13:24:15Z
rappor,https://github.com/google/rappor,RAPPOR: Privacy-Preserving Reporting Algorithms,R,870,161,2014-10-16T20:05:27Z,2025-12-03T12:39:27Z
addinslist,https://github.com/daattali/addinslist,📜 Discover and install useful RStudio addins ,R,867,140,2016-03-30T10:13:42Z,2025-12-16T06:33:09Z
text2vec,https://github.com/dselivanov/text2vec,"Fast vectorization, topic modeling, distances and GloVe word embeddings in R.",R,867,133,2015-08-05T06:09:14Z,2025-12-01T09:46:23Z
ggiraph,https://github.com/davidgohel/ggiraph,make 'ggplot' graphics interactive,R,863,79,2015-08-01T22:17:06Z,2025-12-15T10:13:37Z
shinyWidgets,https://github.com/dreamRs/shinyWidgets,shinyWidgets : Extend widgets available in shiny,R,861,158,2017-03-22T20:18:18Z,2025-12-16T10:47:37Z
GEO,https://github.com/jmzeng1314/GEO,,R,855,531,2018-07-09T12:33:40Z,2025-12-12T05:26:12Z
perceptions,https://github.com/zonination/perceptions,Perceptions of Probability and Numbers,R,855,96,2016-06-23T03:20:08Z,2025-12-16T13:55:17Z
keras3,https://github.com/rstudio/keras3,R Interface to Keras,R,853,281,2017-02-01T17:17:47Z,2025-12-13T15:55:55Z
awesome-rshiny,https://github.com/grabear/awesome-rshiny,An awesome R-shiny list!,R,845,143,2017-04-25T00:53:45Z,2025-12-17T15:26:16Z
slidify,https://github.com/ramnathv/slidify,Generate reproducible html5 slides from R markdown,R,844,337,2012-06-07T13:45:31Z,2025-11-12T08:17:07Z
xai_resources,https://github.com/pbiecek/xai_resources,Interesting resources related to XAI (Explainable Artificial Intelligence),R,842,139,2018-10-17T20:05:09Z,2025-12-10T14:03:12Z
TidyTuesday,https://github.com/z3tt/TidyTuesday,"My contributions to the #TidyTuesday challenge, a weekly data visualization challenge. All plots are 💯 created in R with ggplot2.",R,825,145,2019-04-23T17:04:39Z,2025-12-15T08:02:41Z
UpSetR,https://github.com/hms-dbmi/UpSetR,"An R implementation of the UpSet set visualization technique published by Lex, Gehlenborg, et al..  ",R,815,162,2015-05-26T18:29:34Z,2025-12-11T14:05:09Z
texture-vs-shape,https://github.com/rgeirhos/texture-vs-shape,"Pre-trained models, data, code & materials from the paper ""ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness"" (ICLR 2019 Oral)",R,808,105,2018-11-28T09:56:15Z,2025-12-12T22:45:06Z
tidymodels,https://github.com/tidymodels/tidymodels,Easily install and load the tidymodels packages,R,805,75,2018-07-05T19:38:29Z,2025-12-15T09:31:06Z
r_tips,https://github.com/erikaduan/r_tips,"R programming tips for data cleaning, data visualisation, statistical modelling and machine learning",R,802,206,2018-10-09T05:21:07Z,2025-12-12T13:13:51Z
