name,html_url,description,language,stars,forks,created_at,updated_at
swiper,https://github.com/nolimits4web/swiper,Most modern mobile touch slider with hardware accelerated transitions,JavaScript,41668,9720,2012-03-14T19:11:45Z,2025-12-17T15:07:17Z
dubbo,https://github.com/apache/dubbo,The java implementation of Apache Dubbo. An RPC and microservice framework.,Java,41651,26557,2012-06-19T07:56:02Z,2025-12-17T13:50:47Z
mitmproxy,https://github.com/mitmproxy/mitmproxy,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,Python,41598,4395,2010-02-16T04:10:13Z,2025-12-17T16:34:54Z
yarn,https://github.com/yarnpkg/yarn,The 1.x line is frozen - features and bugfixes now happen on https://github.com/yarnpkg/berry,JavaScript,41537,2737,2016-01-19T17:39:16Z,2025-12-17T13:15:18Z
nw.js,https://github.com/nwjs/nw.js,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,JavaScript,41527,3874,2012-01-04T06:21:10Z,2025-12-17T11:26:42Z
crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",Python,41478,5556,2023-10-27T03:26:59Z,2025-12-17T15:07:08Z
awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python,,41379,4369,2015-01-02T00:31:34Z,2025-12-17T16:50:12Z
uni-app,https://github.com/dcloudio/uni-app,A cross-platform framework using Vue.js,JavaScript,41312,3715,2018-07-12T08:52:39Z,2025-12-17T15:43:41Z
ColossalAI,https://github.com/hpcaitech/ColossalAI,"Making large AI models cheaper, faster and more accessible",Python,41293,4544,2021-10-28T16:19:44Z,2025-12-17T13:41:03Z
black,https://github.com/psf/black,The uncompromising Python code formatter,Python,41228,2690,2018-03-14T19:54:45Z,2025-12-17T11:58:42Z
ChatGLM-6B,https://github.com/zai-org/ChatGLM-6B,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,Python,41208,5215,2023-03-13T12:00:18Z,2025-12-17T14:26:34Z
vue2-elm,https://github.com/bailicangdu/vue2-elm,Large single page application with 45 pages built on vue2 + vuex. 基于 vue2 + vuex 构建一个具有 45 个页面的大型单页面应用,Vue,41192,12370,2016-12-23T01:49:20Z,2025-12-17T15:58:09Z
fanqiang,https://github.com/bannedbook/fanqiang,翻墙-科学上网,Kotlin,41145,7425,2015-01-14T00:34:25Z,2025-12-17T13:59:51Z
zod,https://github.com/colinhacks/zod,TypeScript-first schema validation with static type inference,TypeScript,41089,1726,2020-03-07T20:59:08Z,2025-12-17T16:33:52Z
hexo,https://github.com/hexojs/hexo,"A fast, simple & powerful blog framework, powered by Node.js.",TypeScript,41081,5027,2012-09-23T15:17:08Z,2025-12-17T08:22:35Z
DeepSpeed,https://github.com/deepspeedai/DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",Python,41021,4667,2020-01-23T18:35:18Z,2025-12-17T15:56:18Z
styled-components,https://github.com/styled-components/styled-components,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,TypeScript,41000,2524,2016-08-16T06:41:32Z,2025-12-17T15:47:18Z
